artist_uri,artist_name
7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, Mikhail Pletnev"
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie
1dfeR4HaWDbWqFHLkxsg1d,"Queen, David Bowie"
1hCkSJcXREhrodeIHQdav8,Ramin Djawadi
2cCUtGK9sDU2EoElnk0GNB,The National
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine
2dB3VxAmEw5Dqewiha1oO1,The Greatest Bits
6HWfXh9ErTOP7mSk7kxnf0,Chiptune Radio
0X1wtVNo8CVrMEKh8y8knH,GlitchxCity
4pAgH7ZVMfeEqm11iwwYjA,FalKKonE
1cSLWtq8penAi11GiMxgHc,Neku
1U2GH2NLt30RW9bnJEvcgM,Braxton Burks
5B0H8bMexCZKbc2UaVUzmF,MinecraftUniverse
1T7zBkQCOCacKjbnmFX7cp,"GameChops, VGR"
62GoYifV4njTdvS8lD2yYT,insaneintherainmusic
2WC05LNhYfprewGa72WQhP,Zelda Cover Band
6gGEbIpUsOUFPu6o9erl9S,Zelda Cover Band
6i5jeqNyrzyfDwIiAfNdyF,Video Game Players
2EFkigEczkUGF0PWTBX8IR,"Manaka Kataoka, Yasuaki Iwata, daigoro789"
52PmW6wfHfCkQq16XF7sJz,Zelda Cover Band
6dOnTTVTbQlFWF6yfD4Vw5,"Manaka Kataoka, Yasuaki Iwata, Hajime Wakai, daigoro789"
0LzeyDrlLtuyBqMSBN4z3U,Taylor Davis
480xKab3lUPhBBnCzlzqIu,User Youth
0cxNfEa3UFPqeMaUudfKtj,Taylor Davis
3PfJE6ebCbCHeuqO4BfNeA,daigoro789
123epI2OFu37F7VsnOBn9F,Michael Tai
5NLlq8IzOUuqDYGPxoPkSC,Triforce Quartet
094Eb3gQkbFFT4seoZoMaS,The Versions
21Tp0aROiJGTa0BgFGsC6v,The Marcus Hedges Trend Orchestra
1v4YnufenjE9BLAfP90qvt,Arcade Player
1CRvJnCbPjgx0xmBdoex0c,Monsalve
0fagNxnyvy6FDvkNPt6X29,The Versions
4cyHkKiXAQkIWXJ4pi2TIP,daigoro789
7eSzU0TjGXlVL3bXSexvo7,"Koji Kondo, Toru Minegishi, Hajime Wakai, Kenta Nagata, daigoro789"
3T7TTwTUPXYvIHsMOKHxx7,Arcade Player
36yuG9DyloDYqWKWRoYqPc,The Marcus Hedges Trend Orchestra
69EWJ8UVSlytt27VsEsQAw,Monsalve
3LZIkCMVjsdCQWmbOgZXsE,Arcade Player
4aCvJneLXFoKTe1919Zk0J,Good Knight Productions
1LgVvBvmQm48GExZDH322C,Dan DeSimone
30ur9OW63O3mffcjm0UpIF,"GameChops, Alan Gee, Tudd"
4ShgdWtm52xvEr8uYmT0V6,"Koji Kondo, Mahito Yokota, Andrew Skeet, London Philharmonic Orchestra"
0aTXD7f2nucmawx2XWTgMq,Qumu
6ImfL6wSxqhYl64AbsaNZX,Qumu
1KkjjsBwGqU2YjS9OIucZV,Super Mario 64
0mSUBVwxfnwV4tue8JINCP,Retro Crowd
451UU345Ht2CuGIrkCQHYP,Good Knight Productions
21VBNkZvKxrI9zmfFRxXvn,Qumu
4uFZsG1vXrPcvnZ4iSQyrx,Good Knight Productions
4XU5f8nGiPMr6eetud6epC,Qumu
3w1Q754jb31h5CXQCcnLNL,Capcom Sound Team
3OsRAKCvk37zwYcnzRf5XF,Moby
37aR5PqATWZwKvh9nkebho,dj-Jo
3pCoHlohSNQdXBNDxuWd12,VGR
7xYcJfhrRx9Iv8smhoEibc,dj-Jo
3VYxuvrdxNbXmDIxiHYDqz,Mykah
5MboRLcEpLbsshOx64OdA6,"Mikel, GameChops"
1IwzmBTWI4CzUNsZM7Zqd8,"Dj Cutman, James Landino, GameChops"
6xMMOflXnoIA3grU3seMjh,SARE
6ffYP0xcFEFM2ysJbIsnSJ,"Mikel, GameChops"
2qxJFvFYMEDqd7ui6kSAcq,Kabuki
2PYwh6PcmNFSq6UOEp3GPW,"RoboRob, Ben Briggs"
3dy5LypMH5vMuSVASxS1Rg,Mykah
6x9SOZOqGwzZskEuhG9MG4,Mykah
2vMo8NPLGrfmsZlJgL8YRu,Akosmo
1d9VzpAUZdgruidP0DB5Lh,Kruai
1S5dTEp4fRoQgzFPDQYkQm,dj-Jo
2OUjqAiORUdVK9uQv59cyl,"Besso0, GonZealous"
1Bk5QRKPcjeDSZS6M75Q8z,"Epikuro, RoboRob"
7mDeqeWZNHpjcI9u58xCZW,SenPi
2tlkzi9VdGYgJrr7yXsC0I,"GonZealous, Nikki-Chi"
