Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Track Duration (ms),Track Preview URL,Popularity,Added By,Added At,Playlist URI,Playlist Name
2MSgFefjK0T7Iwjvr3OKqV,Chopin: Nocturne No. 20 in C-Sharp Minor Op. Posth.,7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, Mikhail Pletnev",3hW1TEeZRJ01XycQFABjj9,Chopin - Piano Works,6/22/05,259493,https://p.scdn.co/mp3-preview/bc2e0802bbe54e5a8be0f93e5dac70345d55522f?cid=9950ac751e34487dbbe027c4fd7f8e99,66,,2020-11-02T13:13:59Z,37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes
1sy5fd8zcgitoStD1MhyAx,Chopin: Nocturne No. 3 in B Major Op. 9 No. 3,7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, YUNDI",7kGObwwRrq6pgj9MwSu4Qx,Chopin Nocturnes,3/15/10,380746,https://p.scdn.co/mp3-preview/0b8df724b49e098f1ca444c179f63f52f9508399?cid=9950ac751e34487dbbe027c4fd7f8e99,43,,2020-11-02T13:13:59Z,37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes
64LTn5fTsPR0QLy7bVYl9w,Nocturne No. 19 in E Minor Op. 72 No. 1,7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, Benjamin Grosvenor",5MyejkHGSoo5IfTum4VMiw,Benjamin Grosvenor: Chopin Liszt Ravel,1/1/11,241986,https://p.scdn.co/mp3-preview/41affeacfd48046c92af6708a3b5bb94cac00021?cid=9950ac751e34487dbbe027c4fd7f8e99,60,,2020-11-02T13:13:59Z,37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes
3oriraGUD3nlYIJfqINnE4,Nocturne in F-Sharp Major Op. 15 No. 2: Nocturne No. 5 in F-Sharp Major Op. 15 No. 2,7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, Idil Biret",5GogZxTGjrQ72jGSpXLLt9,Chopin: Nocturnes Vol. 1,5/19/99,229000,https://p.scdn.co/mp3-preview/a04e5867a7c2b278887ffbb3339d2fb968bffe0a?cid=9950ac751e34487dbbe027c4fd7f8e99,42,,2020-11-02T13:13:59Z,37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes
503fwzlbWHx5g0CqlU9Giu,Nocturne No.2 In E Flat Op.9 No.2,7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, Maurizio Pollini",2aoSpTAjFaMvaZeruqnCVv,Chopin: Nocturnes,1/1/05,242586,https://p.scdn.co/mp3-preview/0667d63bd0e7c7b6f22deac19e393a7e9534de1c?cid=9950ac751e34487dbbe027c4fd7f8e99,51,,2020-11-02T13:13:59Z,37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes
7v5GzMLLBOwz39uUn8UeYr,Nocturne in D-Flat Major Op. 27 No. 2,7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, Ingrid Fliter",7k54RTWZdOVQqMR5torR0n,Chopin: Nocturnes,10/5/18,352452,https://p.scdn.co/mp3-preview/5b411fef666f3ea13e9091704dc103b6a6fd64f7?cid=9950ac751e34487dbbe027c4fd7f8e99,41,,2020-11-02T13:13:59Z,37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes
4BTKLuoeQilGkBi47bt2hs,Nocturne No.15 In F Minor Op.55 No.1,7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, Daniel Barenboim",3zHkuOkUqIgRwCcVnbX9qf,Chopin: Nocturnes,1/1/82,280000,https://p.scdn.co/mp3-preview/64bc3339ae579dee6364f1ed373a698ba123e07e?cid=9950ac751e34487dbbe027c4fd7f8e99,44,,2020-11-02T13:13:59Z,37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes
1QBaOzhMlaWx9zQZIEmJFx,Nocturne in E-Flat Major Op. 55 No. 2,7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, Lang Lang",0ylbO515jtrovpxr1drKdF,Lang Lang: The Chopin Album,10/22/12,366320,https://p.scdn.co/mp3-preview/fc4ce25a3ec37eea29ce2461f0f97983c9a2613b?cid=9950ac751e34487dbbe027c4fd7f8e99,50,,2020-11-02T13:13:59Z,37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes
6saqyONsKCCJw0gWh95LCi,Nocturne No.11 In G Minor Op.37 No.1,7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, Maurizio Pollini",2aoSpTAjFaMvaZeruqnCVv,Chopin: Nocturnes,1/1/05,321373,https://p.scdn.co/mp3-preview/436ada34c0c4e3959496bac49edd87e66cbbcc9d?cid=9950ac751e34487dbbe027c4fd7f8e99,44,,2020-11-02T13:13:59Z,37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes
4Q37ztBKLNpNTM60J1hHgL,Chopin: Nocturne No. 4 in F Major Op. 15 No. 1,7y97mc3bZRFXzT2szRM4L4,"Frederic Chopin, Fazıl Say",7y3AsSZqsPwODemRGCpnLZ,Chopin: Nocturnes,9/1/17,274346,https://p.scdn.co/mp3-preview/179f97e00990484074640755bf9edc9aa3220671?cid=9950ac751e34487dbbe027c4fd7f8e99,40,,2020-11-02T13:13:59Z,37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes
